"species","broad.taxa","mean.frequency","avg.prop.abun","avg.prop.vol","prop.iri"
"nassau.grouper","crustacea",0.545454545454545,0.510606060606061,0.479420289855073,0.512333629466803
"nassau.grouper","teleosts",0.527272727272727,0.474242424242424,0.49935817805383,0.487038941599954
"nassau.grouper","mollusca",0.0181818181818182,0.00606060606060606,0.00217391304347826,0.000142044066387533
"nassau.grouper","echinodermata",0.0181818181818182,0.00909090909090909,0.019047619047619,0.000485384866855684
"yellowfin.grouper","teleosts",0.833333333333333,0.833333333333333,0.888888888888889,0.984126984126984
"yellowfin.grouper","crustacea",0.0833333333333333,0.0833333333333333,0,0.00476190476190476
"yellowfin.grouper","mollusca",0.0833333333333333,0.0833333333333333,0.111111111111111,0.0111111111111111
"black.grouper","teleosts",1,0.9375,0.986842105263158,0.99510950457155
"black.grouper","mollusca",0.125,0.0625,0.0131578947368421,0.00489049542844993
"redhind","crustacea",0.842105263157895,0.771929824561403,0.790196078431373,0.934790244203685
"redhind","teleosts",0.263157894736842,0.175438596491228,0.150980392156863,0.0610412718507683
"redhind","mollusca",0.0526315789473684,0.0526315789473684,0.0588235294117647,0.00416848394554725
"yellowfin.grouper","echinodermata",0,0,0,0
"black.grouper","crustacea",0,0,0,0
"black.grouper","echinodermata",0,0,0,0
"redhind","echinodermata",0,0,0,0
